student_id,age,study_hours,attendance,previous_score,assignment_score,sleep_hours,internet_hours,final_score
435,19,8.5,88.0,74.8,89.5,7.6,1.9,82.9
436,18,7.8,72.1,52.6,44.5,8.7,5.4,60.0
437,19,8.2,65.6,52.8,53.6,7.0,5.1,61.4
438,24,8.4,66.0,52.1,83.8,6.4,1.8,70.6
439,23,2.7,86.2,49.6,75.9,4.3,2.5,58.1
440,19,3.1,87.3,76.1,43.9,7.4,3.2,60.2
441,20,6.7,60.0,86.6,92.6,6.9,2.2,78.9
442,23,9.2,93.4,79.8,92.6,9.0,2.7,87.6
443,19,3.8,85.7,83.6,59.8,5.2,2.9,66.6
444,24,6.3,78.1,62.3,60.4,6.7,3.3,64.8
445,23,7.1,73.6,76.0,99.3,7.3,6.2,78.4
446,24,5.1,77.2,59.5,77.6,7.2,5.0,65.1
447,19,7.4,58.0,68.9,71.9,6.8,7.9,66.6
448,24,9.1,60.2,66.5,90.3,7.9,3.9,76.8
449,20,6.6,54.6,49.7,57.1,5.0,6.3,54.9
450,19,5.9,57.7,61.3,65.8,7.6,7.1,60.5
451,19,4.9,72.7,93.0,56.1,7.1,5.8,68.3
452,19,6.2,76.5,53.7,87.3,8.5,3.9,69.1
453,18,4.2,50.9,47.4,74.4,8.2,6.3,54.8
454,18,4.5,89.8,63.0,79.5,5.6,2.4,67.8
455,18,5.8,64.7,83.5,55.1,5.4,3.3,66.2
456,20,1.6,95.6,72.0,53.2,8.9,4.8,59.5
457,23,3.1,98.4,77.5,69.3,6.6,5.0,67.3
458,24,5.9,59.3,50.4,84.3,8.5,1.2,65.5
459,22,4.9,73.1,74.0,71.5,4.8,7.6,64.4
460,19,4.0,50.1,57.8,42.0,7.2,5.9,49.0
461,24,7.6,79.9,85.9,92.1,8.0,4.5,82.7
462,19,7.2,80.4,74.6,43.9,8.7,7.5,65.4
463,20,2.5,62.4,50.9,97.3,5.7,4.1,59.8
464,19,8.9,77.9,43.6,41.5,7.6,7.9,57.8
465,18,5.5,61.3,42.3,81.7,6.7,4.6,59.4
466,22,7.7,58.0,60.4,44.9,4.3,1.8,59.7
467,21,6.2,82.6,54.6,94.6,7.4,6.4,70.3
468,19,10.0,66.3,75.5,67.9,7.5,5.8,75.4
469,24,7.8,79.5,67.5,48.3,8.7,6.4,66.0
470,18,7.4,71.7,54.6,60.4,6.5,7.7,61.4
471,21,8.0,99.2,48.2,49.9,5.2,6.4,62.2
472,22,2.3,57.5,47.0,50.2,4.2,5.3,44.3
473,21,2.8,73.2,87.6,96.9,6.1,7.0,71.6
474,18,7.4,84.0,53.4,66.7,5.5,5.7,65.0
475,23,5.4,69.8,75.8,87.3,7.8,3.9,72.8
476,23,7.8,98.7,84.6,78.4,5.8,7.2,79.7
477,21,1.9,86.1,73.8,80.6,8.7,2.6,67.1
478,20,5.8,82.8,87.3,47.9,8.8,6.0,68.6
479,24,4.4,87.9,61.6,54.1,7.1,7.2,58.9
480,24,5.1,97.6,92.6,87.2,8.6,6.1,80.7
481,21,6.4,95.4,47.3,98.2,7.8,5.9,71.8
482,19,5.5,86.2,45.6,55.8,6.7,6.3,56.8
483,19,5.9,87.5,76.2,56.3,4.9,4.3,67.2
484,24,5.4,57.3,91.9,68.4,6.3,7.1,68.7
485,24,4.7,55.1,84.5,99.0,6.8,2.4,75.0
486,23,7.9,78.5,44.2,56.1,8.3,1.9,63.1
487,20,1.1,50.9,55.4,64.4,6.4,3.0,49.3
488,18,6.4,74.1,91.2,93.5,8.5,4.7,81.6
489,19,6.1,60.5,53.9,40.2,7.4,4.6,53.9
490,24,7.4,67.3,83.0,42.4,4.7,6.7,64.4
491,23,6.4,88.8,85.4,76.2,9.0,3.8,78.4
492,22,8.4,97.1,67.2,94.4,6.6,4.4,81.2
493,23,9.6,53.6,61.2,54.3,6.0,1.1,66.6
494,19,4.1,76.7,64.8,68.2,7.3,3.9,62.9
495,19,3.0,94.1,52.5,67.0,4.5,5.5,57.1
496,23,4.8,54.1,88.9,68.4,7.2,1.1,69.5
497,18,3.6,91.2,64.8,77.4,6.5,3.0,66.4
498,21,6.5,67.9,88.5,68.2,6.0,2.5,73.5
499,19,9.2,66.1,45.8,66.8,8.8,1.3,67.5
500,23,2.3,98.9,94.4,68.5,6.6,4.4,71.0
